Entity	Field	Data Type
User	id	UUID
	first_name, last_name, email, phone, password_hash, avatar, company	string
	role	enum (admin, member, guest)
	bio	text
	registration_date	datetime
	active	boolean
		
Coworking / Branch	id	UUID
	name, slug, address, city, country, postal_code, phone, email, schedule	string
	description	text
	latitude, longitude	decimal
	cover	image
	gallery	array (images)
	services	relation
	active	boolean
		
Space	id	UUID
	coworking_id, amenities	relation
	name, slug	string
	type	enum (flex, fixed, private, meeting, event)
	description	text
	capacity	integer
	price_hour, price_day, price_month, size_m2	decimal
	images	array (images)
	available	boolean
	status	enum (active, maintenance, hidden)
		
Service	id	UUID
	name, icon	string
	description	text
		
Booking	id	UUID
	user_id, space_id	relation
	start_date, end_date, created_at	datetime
	total	decimal
	status	enum (pending, confirmed, cancelled, completed)
	notes	text
	booking_code	string
		
Plan / Membership	id	UUID
	name	string
	description	text
	price	decimal
	duration	enum (day, week, month, year)
	credits, meeting_hours	integer
	access_24_7, active	boolean
		
Subscription	id	UUID
	user_id, plan_id	relation
	start_date, end_date	datetime
	auto_renewal	boolean
	status	enum (active, cancelled, expired, pending)
